Name,Match,wicket,dot_given,6s,4s,catch
Sunil Narine,16,17,137,40,23,1
Andre Russel,16,13,76,17,31,8
Rashid Khan,17,21,167,3,6,6
Hardik Pandya,13,18,98,20,11,8
Krunal Pandya,14,12,85,22,10,9
Shakib Hassan,17,14,98,26,5,3
Dwayne Bravo,16,14,90,8,10,9
K Gowtham,15,11,90,9,9,10
B Stokes,13,8,77,13,6,6
R Jadeja,16,11,82,3,4,11
R Ashwin,14,10,77,7,5,5
Ben Cutting,9,2,24,5,8,7
C De Grandhome,9,2,26,4,10,3
Axar Patel,9,3,41,3,4,2
C Braithwaite,4,5,23,1,8,2
Moeen Ali,5,3,27,4,6,2
M Stoinis,7,3,15,6,4,2
K Pollard,9,0,0,10,7,4
Y Singh,8,0,0,6,2,1
Dan Christian,4,4,22,0,1,0
Shane Watson,15,6,57,44,35,3
