Player,match,NO,Run,Hs,ave,BF,SR,100,50,4s,6s,CT,ST
V Kohli,14,3,530,92,48.18,381,139.1,0,4,52,18,8,0
RG Sharma,14,2,286,94,23.83,215,133.02,0,2,25,12,8,0
G Gambhir,16,4,498,76,41.5,389,128.02,0,4,61,7,6,0
RV Uthappa,16,0,351,54,21.93,265,132.45,0,1,30,21,5,0
S Dhawan,16,3,497,92,38.23,363,136.91,0,4,59,14,12,0
MS Dhoni,16,9,455,79,75.83,302,150.66,0,3,24,30,11,3
DA Warner,14,3,641,126,58.27,452,141.81,1,4,63,26,10,0
CH Gayle,11,2,368,104,40.88,252,146.03,1,3,30,27,2,0
AB de Villiers,12,2,480,90,53.33,275,174.54,0,6,39,30,6,0
AM Rahane,15,1,370,65,28.46,313,118.21,0,1,39,5,4,0
KD Karthik,16,6,498,52,49.8,337,147.77,0,2,49,16,14,4
SR Watson,15,1,555,117,39.64,359,154.59,2,2,44,35,3,0
YK Pathan,15,4,260,45,28.88,200,130,0,0,22,11,3,0
AT Rayudu,16,2,602,100,43,402,149.75,1,3,53,34,2,0
BB McCullum,11,1,320,72,29.09,220,145.45,0,2,29,18,8,0
Risabh Pant,14,1,684,128,52.61,394,173.6,1,5,68,37,4,2
Yuvraj Singh,8,0,65,20,10.83,73,89.04,0,0,6,2,1,0
M Vijay,14,1,453,89,34.84,364,124.45,0,5,50,10,2,0
MK Pandey,15,2,284,62,25.81,246,115.44,0,3,22,5,9,0
KA Pollard,9,1,133,50,19,100,133,0,1,10,7,4,0
PA Patel,16,0,395,70,24.68,293,134.81,0,2,49,8,6,2
JP Duminy,6,3,36,23,36,40,90,0,0,3,1,2,0
SV Samson,15,1,441,92,31.5,320,137.81,0,3,30,19,5,0
RA Jadeja,16,5,89,27,17.8,74,120.27,0,0,3,4,11,0
AJ Finch,10,1,134,46,16.75,100,134,0,0,6,8,4,0
MK Tiwary,15,3,324,60,32.4,236,137.28,0,2,31,11,5,0
WP Saha,11,2,122,35,15.25,102,119.6,0,0,17,1,5,1
NV Ojha,14,1,79,34,19.75,65,121.53,0,0,2,3,6,0
KK Nair,13,0,301,54,25.08,221,136.19,0,2,23,13,9,0
F du Plessis,6,1,162,67,32.4,129,125.58,0,1,17,6,1,0
GJ Maxwell,12,0,169,47,14.08,120,140.83,0,0,14,9,4,0
KL Rahul,14,2,659,95,54.91,416,158.41,0,6,66,32,10,1
Mandeep Singh,14,3,252,47,25.2,186,135.48,0,0,16,11,4,0
DJ Bravo,16,6,141,68,35.25,91,154.94,0,1,8,10,9,0
S Raina,15,3,445,75*,37.08,336,132.44,0,4,46,12,9,0
