Player,BF,Mat,Inns,NO,Runs,HS,Ave,6s,SR,100,50,4s
V Kohli,3784,163,155,26,4948,113,38.35,177,130.76,4,34,434
RG Sharma,3429,173,168,27,4493,109*,31.86,184,131.02,1,34,379
G Gambhir,3404,154,152,16,4217,93,31,59,123.88,0,36,492
RV Uthappa,3135,165,159,15,4129,87,28.67,146,131.7,0,23,407
S Dhawan,3285,143,142,20,4058,95*,33.26,85,123.53,0,32,460
MS Dhoni,2906,175,158,58,4016,79*,40.16,186,138.19,0,20,275
DA Warner,2824,114,114,15,4014,126,40.54,160,142.13,3,36,401
CH Gayle,2650,112,111,14,3994,175*,41.17,292,150.71,6,24,323
AB de Villiers,2619,141,129,29,3953,133*,39.53,187,150.93,3,28,326
AM Rahane,2848,126,119,15,3427,103*,32.95,65,120.33,1,26,359
KD Karthik,2642,168,150,23,3401,86,26.77,87,128.72,0,16,335
SR Watson,2250,117,113,15,3177,117*,32.41,157,141.2,4,16,301
YK Pathan,2196,164,146,39,3164,100,29.57,157,144.08,1,13,261
AT Rayudu,2317,130,123,20,3018,100*,29.3,113,130.25,1,17,258
BB McCullum,2186,109,109,5,2880,158*,27.69,130,131.74,2,13,293
Risabh Pant,767,38,38,3,1248,128,35.66,67,162.71,1,8,115
Yuvraj Singh,2045,128,122,15,2652,83,24.78,143,129.68,0,12,210
M Vijay,2045,101,101,5,2523,127,26.28,90,123.37,2,13,237
MK Pandey,2090,118,109,20,2499,114*,28.07,69,119.56,1,12,219
KA Pollard,1699,132,121,33,2476,78,28.13,154,145.73,0,13,167
PA Patel,2090,125,123,11,2475,81,22.09,39,118.42,0,11,317
JP Duminy,1636,83,77,26,2029,78*,39.78,79,124.02,0,14,126
SV Samson,1466,81,77,7,1867,102,26.67,76,127.35,1,10,142
RA Jadeja,1483,154,119,42,1821,48,23.64,61,122.79,0,0,128
AJ Finch,1329,75,73,7,1737,88*,26.31,67,130.69,0,13,176
MK Tiwary,1449,98,85,26,1695,75*,28.72,40,116.97,0,7,156
WP Saha,1293,115,90,21,1679,115*,24.33,58,129.85,1,6,147
NV Ojha,1313,113,94,19,1554,94*,20.72,79,118.35,0,6,121
KK Nair,1133,68,62,4,1459,83*,25.15,39,128.77,0,10,158
F du Plessis,1141,59,52,4,1457,73,30.35,44,127.69,0,9,127
GJ Maxwell,867,69,68,7,1397,95,22.9,91,161.13,0,6,109
KL Rahul,993,53,44,8,1384,95*,38.44,56,139.37,0,10,127
Mandeep Singh,1106,84,72,7,1364,77*,20.98,29,123.32,0,5,150
DJ Bravo,1090,122,93,34,1403,70*,23.77,58,128.71,0,5,111
S Raina,3600,176,165,27,4985,100,34.37,185,138.47,1,3,448
